new entry "KHB_Slayer_INVISIBILITY"
type "StatusData"
data "StatusType" "INVISIBLE"
data "DisplayName" "h8d8bf77cg9365g4f6eg920ag4ee1d1cdcfbd;4"
data "Description" "h9000689eg9754g4481g9074ga513f6613ec9;5"
data "Icon" "Spell_Illusion_Invisibility"
data "StackId" "INVISIBILITY"
data "StackPriority" "4"
data "Boosts" "IgnoreLeaveAttackRange; Invisibility(); Advantage(AttackRoll); DetectDisturbancesBlock(true)"
data "StatusPropertyFlags" "UnavailableInActiveRoll;ExcludeFromPortraitRendering"
data "RemoveEvents" "OnSpellCast;OnDamage;OnEntityPickUp;OnEntityDrop;OnEntityDrag;OnLockpickingFinished;OnDisarmingFinished"
data "RemoveConditions" "(IsStatusEvent(StatusEvent.OnSpellCast) and not HasSpellFlag(SpellFlags.Invisible)) or (IsStatusEvent(StatusEvent.OnDamage) and TotalDamageDoneGreaterThan(0)) or (not IsStatusEvent(StatusEvent.OnSpellCast) and not IsStatusEvent(StatusEvent.OnDamage))"
data "StatusGroups" "SG_Invisible;SG_RemoveOnRespec"
data "StatusEffect" "bcb8586f-b17d-42f6-8ea9-210952604780"
